en,fr,mode,verb,group
I have,J'ai,present-indicative,avoir,3
You have,Tu as,present-indicative,avoir,3
She have,Ell'a,present-indicative,avoir,3
He have,Il a,present-indicative,avoir,3
We have,Nous avons,present-indicative,avoir,3
You have,Vous avez,present-indicative,avoir,3
They have,Ils ont,present-indicative,avoir,3
I am having,J'ayant,present-participe,avoir,3
You are having,Tu ayant,present-participe,avoir,3
She is having,Ell'ayant,present-participe,avoir,3
He is having,Il ayant,present-participe,avoir,3
We are having,Nous ayant,present-participe,avoir,3
You are having,Vous ayant,present-participe,avoir,3
They are having,Ils ayant,present-participe,avoir,3
I have had,J'ai eu,passe-compose,avoir,3
You have had,Tu as eu,passe-compose,avoir,3
She have had,Ell'a eu,passe-compose,avoir,3
He have had,Il a eu,passe-compose,avoir,3
We have had,Nous avons eu,passe-compose,avoir,3
You have had,Vous avez eu,passe-compose,avoir,3
They have had,Ils ont eu,passe-compose,avoir,3
I had,J'avais,l'imperfait,avoir,3
You had,Tu avais,l'imperfait,avoir,3
She had,Ell'avait,l'imperfait,avoir,3
He had,Il avait,l'imperfait,avoir,3
We had,Nous avions,l'imperfait,avoir,3
You had,Vous aviez,l'imperfait,avoir,3
They had,Ils avaient,l'imperfait,avoir,3
I am going to have,Je vais avoir,futur-proche,avoir,3
You are going to have,Tu vas avoir,futur-proche,avoir,3
She is going to have,Elle va avoir,futur-proche,avoir,3
He is going to have,Il va avoir,futur-proche,avoir,3
We are going to have,Nous allons avoir,futur-proche,avoir,3
You are going to have,Vous allez avoir,futur-proche,avoir,3
They are going to have,Ils vont avoir,futur-proche,avoir,3
I will have,J'aurai,futur,avoir,3
You will have,Tu auras,futur,avoir,3
She will have,Ell'aura,futur,avoir,3
He will have,Il aura,futur,avoir,3
We will have,Nous aurons,futur,avoir,3
You will have,Vous aurez,futur,avoir,3
They will have,Ils auront,futur,avoir,"3 "
I would have,J'aurais,conditionnel-present,avoir,3
You would have,Tu aurais,conditionnel-present,avoir,3
She would have,Ell'aurait,conditionnel-present,avoir,3
He would have,Il aurait,conditionnel-present,avoir,3
We would have,Nous aurions,conditionnel-present,avoir,3
You would have,Vous auriez,conditionnel-present,avoir,3
They would have,Ils auraient,conditionnel-present,avoir,3
That I have,Que j'aie,subjunctive-present,avoir,3
That you have,Que tu aies,subjunctive-present,avoir,3
That he have,Qu'il ait,subjunctive-present,avoir,3
That she have,Qu'elle ait,subjunctive-present,avoir,3
That one have,Qu'on ait,subjunctive-present,avoir,3
That we have,Que nous ayons,subjunctive-present,avoir,3
That you have,Que vous ayez,subjunctive-present,avoir,3
That they have,Qu'ils aient,subjunctive-present,avoir,3
,,,,
I am,Je suis,present-indicative,être,3
You are,Tu es,present-indicative,être,3
He is,Il est,present-indicative,être,3
She is,Elle est,present-indicative,être,3
We are,Nous sommes,present-indicative,être,3
You are,Vous êtes,present-indicative,être,3
They are,Ils sont,present-indicative,être,3
I am being,Je étant,present-participe,être,3
You are being,Tu étant,present-participe,être,3
He is being,Il étant,present-participe,être,3
She is being,Elle étant,present-participe,être,3
We are being,Nous étant,present-participe,être,3
You are being,Vous étant,present-participe,être,3
They are being,Ils étant,present-participe,être,3
I had,"J'ai été ",passe-compose,être,3
You had,Tu as été,passe-compose,être,3
He had,Il a été,passe-compose,être,3
She had,Ell'a été,passe-compose,être,3
We had,Nous avons été,passe-compose,être,3
You had,Vous avez été,passe-compose,être,3
They had,Ils ont été,passe-compose,être,3
I was,Je étais,l'imperfait,être,3
You were,Tu étais,l'imperfait,être,3
He was,Il était,l'imperfait,être,3
She was,Ell'était,l'imperfait,être,3
We were,Nous étions,l'imperfait,être,3
You were,Vous étiez,l'imperfait,être,3
They were,Ils étaient,l'imperfait,être,3
I am going to be,Je vais être,futur-proche,être,3
You are going to be,Tu vas être,futur-proche,être,3
He is going to be,Il va être,futur-proche,être,3
She is going to be,Elle va être,futur-proche,être,3
We are going to be,Nous allons être,futur-proche,être,3
You are going to be,Vous allez être,futur-proche,être,3
They are going to be,Ils vont être,futur-proche,être,3
I will be,Je serai,futur,être,3
You will be,Tu seras,futur,être,3
He will be,Il sera,futur,être,3
She will be,Elle sera,futur,être,3
We will be,Nous serons,futur,être,3
You will be,Vous serez,futur,être,3
They will be,Ils seront,futur,être,3
I would be,Je serais,conditionnel-present,être,3
You would be,Tu serais,conditionnel-present,être,3
He would be,Il serait,conditionnel-present,être,3
She would be,Elle serait,conditionnel-present,être,3
We would be,Nous serions,conditionnel-present,être,3
You would be,Vous seriez,conditionnel-present,être,3
They would be,Ils seraient,conditionnel-present,être,3
That I am,Que je sois,subjunctive-present,être,3
That you are,Que tu sois,subjunctive-present,être,3
That he is,Qu'il soit,subjunctive-present,être,3
That she is,Qu'elle soit,subjunctive-present,être,3
That we are,Oue nous soyons,subjunctive-present,être,3
That you are,Que vous soyez,subjunctive-present,être,3
That they are,Qu'elles soient,subjunctive-present,être,3
,,,,
I do,Je fais,present-indicative,faire,3
You do,Tu fais,present-indicative,faire,3
He does,Il fait,present-indicative,faire,3
She does,Elle fait,present-indicative,faire,3
We does,On fait,present-indicative,faire,3
We do,Nous faisons,present-indicative,faire,3
You do,Vous faites,present-indicative,faire,3
They do,Ils font,present-indicative,faire,3
I am doing,Je faisant,present-participe,faire,3
You are doing,Tu faisant,present-participe,faire,3
He is doing,Il faisant,present-participe,faire,3
She is doing,Elle faisant,present-participe,faire,3
We is doing,On faisant,present-participe,faire,3
We are doing,Nous faisant,present-participe,faire,3
You are doing,Vous faisant,present-participe,faire,3
They are doing,Ils faisant,present-participe,faire,3
I did,J'ai fait,passe-compose,faire,3
You did,Tu as fait,passe-compose,faire,3
He did,Il a fait,passe-compose,faire,3
She did,Ell'a fait,passe-compose,faire,3
We did,On a fait,passe-compose,faire,3
We did,Nous avons fait,passe-compose,faire,3
You did,Vous avez fait,passe-compose,faire,3
They did,Ils ont fait,passe-compose,faire,3
I was doing,Je faisais,l'imperfait,faire,3
You was doing,Tu faisais,l'imperfait,faire,3
He was doing,Il faisait,l'imperfait,faire,3
She was doing,Elle faisait,l'imperfait,faire,3
We was doing,On faisait,l'imperfait,faire,3
We was doing,Nous faision,l'imperfait,faire,3
You was doing,Vous faisiez,l'imperfait,faire,3
They was doing,Ils faisaient,l'imperfait,faire,3
I am going to do,Je vais faire,futur-proche,faire,3
You are going to do,Tu vas faire,futur-proche,faire,3
He is going to do,Il va faire,futur-proche,faire,3
She is going to do,Elle va faire,futur-proche,faire,3
We is going to do,On va faire,futur-proche,faire,3
We are going to do,Nous allons faire,futur-proche,faire,3
You are going to do,Vous allez faire,futur-proche,faire,3
They are going to do,Ils vont faire,futur-proche,faire,3
I will do,Je ferai,futur,faire,3
You will do,Tu feras,futur,faire,3
He will do,Il fera,futur,faire,3
She will do,Elle fera,futur,faire,3
We will do,On fera,futur,faire,3
We will do,Nous ferons,futur,faire,3
You will do,Vous ferez,futur,faire,3
They will do,Ils feront,futur,faire,3
I would do,Je ferais,conditionnel-present,faire,3
You would do,Tu ferais,conditionnel-present,faire,3
He would do,Il ferait,conditionnel-present,faire,3
She would do,Elle ferait,conditionnel-present,faire,3
We would do,On ferait,conditionnel-present,faire,3
We would do,Nous ferions,conditionnel-present,faire,3
You would do,Vous feriez,conditionnel-present,faire,3
They would do,Ils feraient,conditionnel-present,faire,3
That I do,Que je fasse,subjunctive-present,faire,3
That you do,Que tu fasses,subjunctive-present,faire,3
